Distance (m),Elevation (m),Latitude,Longitude
41082.75894924164,18.93295288085938,-27.17496476821953,152.98251316688993
41529.31067695079,17.40433311462402,-27.17101185843992,152.98143318888924
41975.862404659936,15.34057998657227,-27.16706335093874,152.98033325903475
42422.41413236908,10.77959060668945,-27.16311868284327,152.97921593320348
42868.96586007823,13.40614795684814,-27.15917400589827,152.97809868631248
43315.51758778738,11.10148429870605,-27.15513765741001,152.97790273270743
43762.06931549653,13.46611785888672,-27.15107084287081,152.97801295530485
44208.621043205676,15.98165893554688,-27.14700432443345,152.97808682879952
44655.172770914825,17.11202621459961,-27.14293998824549,152.97789293040864
45101.72449862397,18.87539863586426,-27.13887565179117,152.97769904612028
45548.27622633312,20.98135948181152,-27.13481131507054,152.9775051759309
45994.827954042266,17.67096138000488,-27.13074697808367,152.97731131983699
46441.379681751416,11.0820255279541,-27.12668264083061,152.97711747783512
46887.931409460565,12.86061859130859,-27.12261830331147,152.97692364992167
47334.483137169715,11.01541137695312,-27.11855396552627,152.97672983609334
47781.03486487886,20.18649482727051,-27.1144896274751,152.9765360363465
48227.586592588006,16.88224220275879,-27.11042528915802,152.9763422506777
48674.138320297156,8.664982795715332,-27.10636095057509,152.97614847908346
49120.690048006305,19.89366149902344,-27.10229661172638,152.97595472156036
49567.241775715454,12.9850025177002,-27.09823227261197,152.97576097810486
50013.793503424604,10,-27.09416793323189,152.97556724871356
50460.345231133746,4.996284008026123,-27.09010359358625,152.97537353338294
50906.896958842895,12.1642017364502,-27.08604649610932,152.9756349603083
51353.448686552045,8.132840156555176,-27.08199091403675,152.97599164884298
51800.000414261194,10.94831275939941,-27.07793533106417,152.97634831155892
52246.552141970344,11.5666618347168,-27.07387974719179,152.97670494846238
52693.10386967949,10.00188446044922,-27.06982416241983,152.97706155956007
53139.655597388635,10.48721027374268,-27.06576857674851,152.977418144858
53586.207325097785,10.58544158935547,-27.06170142206874,152.97746803075302
54032.759052806934,8,-27.05763351202147,152.97749788965996
54479.31078051608,12.26186180114746,-27.0535656019679,152.9775277464014
54925.86250822523,14,-27.04949769190802,152.97755760097766
55372.41423593438,20.8166561126709,-27.04542978184184,152.97758745338933
55818.965963643524,32.52021026611328,-27.04136217981673,152.9775538405887
56265.517691352674,40.32003784179688,-27.03729480110736,152.9774742174434
56712.06941906182,43.56016540527344,-27.03322742235321,152.9773946000672
57158.62114677097,35.52177429199219,-27.02916004355426,152.97731498845872
57605.17287448012,25.4534912109375,-27.02509266471053,152.97723538261653
58051.72460218927,27.57589721679688,-27.02102528582205,152.97715578253906
58498.27632989842,26.0087718963623,-27.0169579068888,152.97707618822506
58944.82805760756,22.48635482788086,-27.01289052791082,152.97699659967316
59391.37978531671,26.99166488647461,-27.0088258163056,152.9770888553013
59837.93151302586,23.30631446838379,-27.00476337557638,152.97732741228742
60284.48324073501,17.96966934204102,-27.00070093444536,152.97756595203396
60731.03496844416,16.75758171081543,-26.99663849291263,152.97780447454534
61177.58669615331,19.08959007263184,-26.9925760509783,152.97804297982566
61624.13842386245,26.23991775512695,-26.98853397304514,152.97843346809805
62070.6901515716,34.40487670898438,-26.98458864068611,152.97954605344262
62517.24187928075,33.72446441650391,-26.98064329959189,152.98065856077073
62963.7936069899,24.32785987854004,-26.97669794976461,152.9817709901008
63410.34533469905,28.13779640197754,-26.97275259120636,152.9828833414516
63856.8970624082,25.65554618835449,-26.96880722391923,152.98399561484143
64303.44879011734,24.49368095397949,-26.96487028741584,152.98514263941297
64750.00051782649,22.12310600280762,-26.96096610243883,152.98642478528654
