Distance (m),Elevation (m)
172129.2296998341,21.31802177429199
172720.73908024593,13.48445987701416
173312.24846065772,5.192260265350342
173903.7578410695,13.26952075958252
174495.26722148134,28.91499710083008
175086.77660189313,26.77105712890625
175678.28598230492,9.002768516540527
176269.79536271672,11.41851329803467
176861.30474312854,15.03496360778809
177452.81412354033,44.41236877441406
178044.32350395212,43.59981536865234
178635.83288436392,28.9926643371582
179227.34226477574,25.47291564941406
179818.85164518753,28.45427894592285
180410.36102559933,35.77569580078125
181001.87040601112,40.41667938232422
181593.37978642294,51.40079879760742
182184.88916683474,71.96080017089844
182776.39854724653,79.12702178955078
183367.90792765835,55.46306991577148
183959.41730807014,48.46339416503906
184550.92668848194,38.88658905029297
185142.43606889373,41.4077262878418
185733.94544930555,31.86514854431152
186325.45482971735,36.0316276550293
186916.96421012914,30.70224189758301
